Pos,Pts,Team name,Best,2nd best,Provenance
45,665,Jackalopes,10 (354) La Flotte,34 (311) Coup de Foudre,
46,663,Douze singes,12 (663) Movember,,
47,647,Bazooka,31 (347) Coup de Foudre,35 (300) Bye Bye,
48,647,Gusto,27 (399) Movember,40 (248) Coup de Foudre,
49,624,Sasquatch!,8 (404) La Flotte,43 (220) Coup de Foudre,
50,624,The Astronauts,32 (385) Coup de Foudre,41 (239) Movember,
51,611,Pisse-Minute,29 (372) Coup de Foudre,41 (239) Bye Bye,
52,599,Chainsaw,15 (599) Bye Bye,,
53,581,Pirhanas,33 (323) Coup de Foudre,39 (258) Movember,
54,580,Les grosses,16 (580) Coup de Foudre,,
55,572,Subasko,2 (286) CEQU4 Carleton,2 (286) CEQU4 Gaspe,
56,570,Zizanie,3 (570) Oktober Disk,,
57,570,Les Brûlés,3 (570) La Flotte,,
58,530,Quick and Dirty,4 (530) Bonne annee,,
59,529,Battleship,37 (278) Coup de Foudre,15 (251) Oktober Disk,
60,512,Hermaphrodisques,6 (512) La Flotte,,
61,503,4-Da-Win,12 (309) Oktober Disk,46 (194) Movember,
62,502,Frisbeenomiale,38 (268) Bye Bye,16 (234) Oktober Disk,
63,501,Nordiscs,13 (288) La Flotte,6 (213) La Viree,
64,498,Les Farfadets,11 (331) La Flotte,57 (167) Movember,
65,496,Les Patriotes,40 (248) Movember,40 (248) Bye Bye,
66,495,Dynamite,32 (335) Movember,21 (160) Bonne annee,
67,495,ECU 23,5 (495) Bonne annee,,
68,495,Force Toilette,5 (495) La Flotte,,
69,491,Martine joue au frisbee,36 (289) Movember,18 (202) Oktober Disk,
70,481,Lebœuf Saloon,37 (278) Bye Bye,45 (203) Coup de Foudre,
71,462,TC 23,6 (462) Bonne annee,,
72,462,L'équipe Pick-up,6 (462) Oktober Disk,,
