Pos,Pts,Team name,Best,2nd best,Provenance
44,647,Gusto,27 (399) Movember,40 (248) Coup de Foudre,
45,633,Vieux jeux,31 (347) Bye Bye,2 (286) Victo Bowl,
46,624,Sasquatch!,8 (404) La Flotte,43 (220) Coup de Foudre,
47,624,The Astronauts,32 (385) Coup de Foudre,41 (239) Movember,
48,611,Pisse-Minute,29 (372) Coup de Foudre,41 (239) Bye Bye,
49,581,Pirhanas,33 (323) Coup de Foudre,39 (258) Movember,
50,572,Subasko,2 (286) CEQU4 Carleton,2 (286) CEQU4 Gaspe,
51,570,Zizanie,3 (570) Oktober Disk,,
52,570,Brûlés,3 (570) La Flotte,,
53,530,Quick and Dirty,4 (530) Bonne annee,,
